artista_id;fecha;popularidad;seguidores
31jvzuB4ikftPQZJwrYfCF;04-24-2020;67;299568
6Si6fslrH2xSORoY5TclT5;04-24-2020;52;2313
2TM0qnbJH4QPhGMCdPt7fH;04-24-2020;67;453977
5Y8eJDj37KhaEeqbVO7Ag1;04-24-2020;73;838054
4AYkFtEBnNnGuoo8HaHErd;04-24-2020;65;435510
19y5MFBH7gohEdGwKM7QsP;04-24-2020;67;1311302
2WX2uTcsvV5OnS0inACecP;04-24-2020;74;3025351
5Nm4sZeWDNd1sOs5HcxAbl;04-24-2020;54;5368
3mIj9lX2MWuHmhNCA7LSCW;04-24-2020;81;3969395
4dcU7cmzO3GECQGSKwl92z;04-24-2020;50;12112
2XdtmipGVPmA62ptDgX8QC;04-24-2020;62;47451
0z9hynUsIjf0ddI4uHqPWX;04-24-2020;60;97527
5fIZHCg2de8322HZodBDWL;04-24-2020;54;37625
6nFBonVf7Lqaj05R0v5VGJ;04-24-2020;56;84131
10exVja0key0uqUkk6LJRT;04-24-2020;77;2026083
4tvKz56Tr39bkhcQUTO0Xr;04-24-2020;72;998999
2KOxHm9lGE9lFZDQdebD6B;04-24-2020;47;13667
3Lg3FGwBxOGuefqekQzRUf;04-24-2020;62;115749
0syIRg9MPSpJIC0QCPUaHB;04-24-2020;58;45132
6AyATGg7mDgBlZ4N5uNog0;04-24-2020;71;239080
3DIk8KcmVKTr4uGw3AuCtJ;04-24-2020;49;11576
78CiW0UJbHspFaVuVexOK6;04-24-2020;64;111590
3QOwPxkPpGvhbiPaEs7Pnl;04-24-2020;42;9208
3oXddLOOjkoUuC2sX1RMdr;04-24-2020;55;51487
5dUUxJQg27XaHdKyLYwNg5;04-24-2020;52;6340
3vsVCHUe68gqUMIZwaVUIK;04-24-2020;54;21233
7zOuMHqRJ6YOMnCGpLfuTU;04-24-2020;50;28815
2AfmfGFbe0A0WsTYm0SDTx;04-24-2020;74;1392589
52zMTJCKluDlFwMQWmccY7;04-24-2020;68;652276
3HqSLMAZ3g3d5poNaI7GOU;04-24-2020;73;1375769
2uWcrwgWmZcQc3IPBs3tfU;04-24-2020;65;668826
2KC9Qb60EaY0kW4eH68vr3;04-24-2020;76;616501
7bmYpVgQub656uNTu6qGNQ;04-24-2020;63;253146
0qlWcS66ohOIi0M8JZwPft;04-24-2020;66;787784
5r1tUTxVSgvBHnoDuDODPH;04-24-2020;70;457763
2PSJ6YriU7JsFucxACpU7Y;04-24-2020;68;822364
2HPaUgqeutzr3jx5a9WyDV;04-24-2020;85;2313123
6hfwwpXqZPRC9CsKI7qtv1;04-24-2020;73;650549
1A9o3Ljt67pFZ89YtPPL5X;04-24-2020;71;334265
0cGUm45nv7Z6M6qdXYQGTX;04-24-2020;83;3401551
3tlXnStJ1fFhdScmQeLpuG;04-24-2020;78;601319
7e1ICztHM2Sc4JNLxeMXYl;04-24-2020;74;738022
5Vuvs6Py2JRU7WiFDVsI7J;04-24-2020;66;106039
5pKCCKE2ajJHZ9KAiaK11H;04-24-2020;91;37217574
7r2oyrNc0YjSC7hZL87V0Y;04-24-2020;58;178320
2ekjTXgjxbWwBX5lTAj4DU;04-24-2020;65;154200
7ohlPA8dRBtCf92zaZCaaB;04-24-2020;68;479330
1A92IAcd7A6npCA33oGM5i;04-24-2020;66;189244
5lpH0xAS4fVfLkACg9DAuM;04-24-2020;70;1173523
7A9yZMTrFZcgEWAX2kBfK6;04-24-2020;66;788985
2hO4YtXUFJiUYS2uYFvHNK;04-24-2020;60;540153
5dbuFbrHa1SJlQhQX9OUJ2;04-24-2020;68;762702
34jw2BbxjoYalTp8cJFCPv;04-24-2020;70;1264792
4QTVePrFu1xuGM9K0kNXkk;04-24-2020;66;130035
6DCIj8jNaNpBz8e5oKFPtp;04-24-2020;69;867806
1G1mX30GpUJqOr1QU2eBSs;04-24-2020;59;282855
1fa0cOhromAZdq2xRA4vv8;04-24-2020;71;1207606
19ra5tSw0tWufvUp8GotLo;04-24-2020;75;2364696
7FIoB5PHdrMZVC3q2HE5MS;04-24-2020;71;1474168
0PFtn5NtBbbUNbU9EAmIWF;04-24-2020;76;1433625
7nwUJBm0HE4ZxD3f5cy5ok;04-24-2020;75;2214633
6IYnSXO40Bh7Zdqhf6rQoj;04-24-2020;59;56199
5IDs1CK15HegSAhGEbSYXo;04-24-2020;66;491104
3lPQ2Fk5JOwGWAF3ORFCqH;04-24-2020;69;796616
2TzHIUhVpeeDxyJPpQfnV3;04-24-2020;65;41673
0z5DFXmhT4ZNzWElsM7V89;04-24-2020;65;582495
6hN9F0iuULZYWXppob22Aj;04-24-2020;71;1017326
0rvjqX7ttXeg3mTy8Xscbt;04-24-2020;76;2863536
3UbyYnvNIT5DFXU4WgiGpP;04-24-2020;69;1555813
0LcJLqbBmaGUft1e9Mm8HV;04-24-2020;80;4013942
0SD4eZCN4Kr0wQk56hCdh2;04-24-2020;70;852522
3bmFPbLMiLxtR9tFrTcKcP;04-24-2020;69;18500
3Z1tibPKhUYWCno0IYicCN;04-24-2020;57;41984
5PN2aHIvLEM98XIorsPMhE;04-24-2020;61;141639
3pFCERyEiP5xeN2EsPXhjI;04-24-2020;69;1112092
1aX2dmV8XoHYCOQRxjPESG;04-24-2020;64;598200
20p5D2KrE8CGuOjHtxsyTp;04-24-2020;61;438877
7oPgCQqMMXEXrNau5vxYZP;04-24-2020;72;967118
32vWCbZh0xZ4o9gkz4PsEU;04-24-2020;77;1057304
5a2EaR3hamoenG9rDuVn8j;04-24-2020;75;4365681
0kObWap02DEg9EAJ3PBxzf;04-24-2020;68;494621
0WwSkZ7LtFUFjGjMZBMt6T;04-24-2020;78;3432192
2kreKea2n96dXjcyAU9j5N;04-24-2020;67;441801
3cniTumSiUysiPWXapGx1i;04-24-2020;63;188763
0JDkhL4rjiPNEp92jAgJnS;04-24-2020;70;946472
22bE4uQ6baNwSHPVcDxLCe;04-24-2020;83;8505591
3CkvROUTQ6nRi9yQOcsB50;04-24-2020;71;1844766
6dn6x1XOng3LOAnfTjUn77;04-24-2020;75;371372
3w6zswp5THsSKYLICUbDTZ;04-24-2020;69;541959
04gDigrS5kc9YWfZHwBETP;04-24-2020;89;23907207
5RJFJWYgtgWktosLrUDzff;04-24-2020;63;12512
66W9LaWS0DPdL7Sz8iYGYe;04-24-2020;79;83226
